Company Name,Ticker,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil)
"Adial Pharmaceuticals","ADIL","YES","-.11","-.14","1","-.34","","","","","-12.73201","0","-12.731","-12.671","4.78","Medical - Biomedical and Genetics","Medical","8.56"
"Archer Daniels Midland","ADM","YES","1.69","1.54","6","6.74","99901.64843","25740.97656","19.47","101848","5629","93986","4340","5449","35410","Agriculture - Operations","Consumer Staples","43027.09"
"ADMA Biologics","ADMA","YES","-.04","-.03","2","-.14","211.8","52.4","90.36","154.08","-46.625","118.815","-65.904","-56.53201","270.402","Medical - Biomedical and Genetics","Medical","748.66"
"Adamis Pharmaceuticals","ADMP","YES","","","","","","","115.3","4.76","-26.19701","6.18699","-26.47801","-24.716","9.272","Medical - Drugs","Medical","15.6"
"Advent Technologies Holdings","ADN","YES","","","","-.2","70","","10.86","7.84","-76.35901","8.581","-74.337","-3.988","49.5","Manufacturing - Electronics","Industrial Products","56.44"
"Adient","ADNT","YES",".49",".63","3","1.95","14929.08007","3763.80395","3.22","14121","269","13314","-120","361","4163","Automotive - Original Equipment","Auto-Tires-Trucks","3607.46"
"Automatic Data Processing","ADP","YES","1.9","2.01","4","8.12","17909.51367","4417.27685","9.95","16498.3","3886","9461.89941","2948.8999","4522.8999","54804.89843","Outsourcing","Business Services","89545.52"
"Adaptive Biotechnologies","ADPT","YES","-.31","-.28","4","-1.15","209.522","47.596","20.06","185.31","-196.13001","57.909","-200.191","-178.53","562.14599","Medical - Biomedical and Genetics","Medical","1233.18"
"Autodesk","ADSK","YES","1.55","1.78","8","7.19","5404.56005","1266.48303","14.1","5005","946","480","823","1594.30004","3341","Computer - Software","Computer and Technology","42385.22"
"ADT","ADT","YES",".23",".15","1",".74","6673.00976","1644.88","20.5","6395","502.68798","2039.84802","172.61799","1984.958","1721.99597","Security and Safety Services","Industrial Products","6300.1"
"ADTRAN Holdings, Inc.","ADTN","YES",".24",".28","1","1.09","1538.90002","382","82.15","1025.54","-67.52601","698.28399","-2.037","105.082","882.35797","Technology Services","Business Services","1171.65"
"Aditx Therapeutics","ADTX","YES","-.64","-.66","1","-2.8","1.66499",".405","",".11","-46.278",".07797","-46.371","2.32159","9.41699","Medical - Drugs","Medical","3.59"
"Addus HomeCare","ADUS","YES","1","1.07","4","4.08","1029.05004","257.83599","10.02","951.12","69.078","651.38098","46.025","75.235","222.807","Medical - Outpatient and Home Healthcare","Medical","1750.83"
"Advantage Solutions","ADV","YES",".12",".14","2",".53","4227.16699","1023.70501","12.42","4049.74","-1418.17005","3493.1831","-1380.50196","2034.40795","1157.00805","Business - Information Services","Business Services","508.99"
"Adverum Biotechnologies","ADVM","YES","-.33","-.33","1","-1.14","","","","7.5","-154.46201","0","-154.536","-144.84801","190.595","Medical - Biomedical and Genetics","Medical","68.48"
"Ameren","AEE","YES",".7","1.83","4","4.35","7931.17285","1741.42102","24.44","7957","1741","4614","1074","2533","2668","Utility - Electric Power","Utilities","23600.93"
"Aegon","AEG","YES","","","","","","","-24.64","22478.25","-1279.07105","-9517.16895","-1509.80896","1609.96801","25909.08007","Insurance - Multi line","Finance","11770.67"
"Aehr Test Systems","AEHR","YES",".2",".21","1",".56","64","21.29999","206.2","50.83","9.52799","27.16399","9.44999","12.01299","60.00699","Electronics - Measuring Instruments","Computer and Technology","764.22"
"Advanced Energy Industries","AEIS","YES","1.13","1.28","3","4.59","1719.13305","417.385","26.75","1845.42","241.74099","1169.91601","199.66","305.10598","1188.51403","Semiconductor Equipment - Wafer Fabrication","Computer and Technology","3377.04"
"American Equity Investment Life Holding","AEL","YES","1.2","1.32","7","4.97","2200.69799","550.18597","-61.63","1415.5","1583.88598","920.74902","1220.94396","1420.71594","15681.41992","Insurance - Life Insurance","Finance","3119.92"
"Agnico Eagle Mines","AEM","YES",".38",".38","3","1.78","5955.77001","1424.96997","50.14","5741.16","1198.35803","2643.32104","670.24902","2098.19091","2180.05908","Mining - Gold","Basic Materials","27906.05"
"Aethlon Medical","AEMD","YES","-.13","-.14","1","-.55","","","-55.39",".29","-10.421","0","-10.41601","-10.26201","18.15699","Medical - HMOs","Medical","8.73"
"American Eagle Outfitters","AEO","YES",".16",".17","6","1.12","5055.49121","1058.77197","-.42","4989.83","192.791","3244.58496","125.136","405.535","1100.24096","Retail - Apparel and Shoes","Retail-Wholesale","2663.47"
"American Electric Power","AEP","YES","1.16","1.58","4","5.27","19780.50976","4774.35009","16.9","19639.5","3816.5","11225.40039","2307.19995","5890.8999","9418.70019","Utility - Electric Power","Utilities","48812.07"
"Aercap","AER","YES","1.51","1.62","1","7.75","7166.54687","1770.85998","34.26","7013.55","589.45001","823.59997","-726.04102","4909.00781","1888.97204","Financial - Leasing Companies","Finance","13501.03"
"AES","AES","YES",".4",".36","3","1.72","12895.68066","3184.46508","13.25","12617","-169","10069","-546","2620","7643","Utility - Electric Power","Utilities","16324.35"
"Atlas Energy Solutions Inc.","AESI","YES",".63",".62","3","2.53","594.21197","142.841","","","","","","","","Oil and Gas - Integrated - United States","Oils-Energy","1761"
"Aeva Technologies","AEVA","YES","-.16","-.16","4","-.64","6.47499","1.14999","-54.75","4.19","-147.305","8.44699","-147.305","-117.492","335.12298","Automotive - Original Equipment","Auto-Tires-Trucks","228.56"
"Audioeye","AEYE","YES","-.02","0","1","0","32.90299","7.852","22.08","29.91","-10.429","7.21899","-10.433","-7.653","12.96599","Internet - Software","Computer and Technology","74.34"
"AEterna Zentaris","AEZS","YES","-.86","-.83","1","-3.54","5.09999","1.2","7.22","5.64","-22.72401",".157","-22.727","-15.94601","55.48799","Medical - Biomedical and Genetics","Medical","11.9"
"AFC Gamma","AFCG","YES",".61",".62","1","2.39","81.62999","21.87","113.68","81.5","36.95899","0","35.93199","50.79199","513.45898","REIT and Equity Trust","Finance","235.42"
"American Financial Group","AFG","YES","2.81","2.58","3","11.7","7191.02001","1754.03503","7.45","7040","1208","5347","898","1093","7106","Insurance - Property and Casualty","Finance","10384.78"
"Acutus Medical","AFIB","YES","-.62","-.59","1","-2.39","19.2","4.5","-5.21","16.36","-34.385","31.90999","-39.61601","-19.63501","117.86699","Medical - Drugs","Medical","19.72"
"Aflac","AFL","YES","1.4","1.42","7","5.59","18401.67578","4595.33007","-11.78","19502","4830","10270","4201","4549","5335","Insurance - Accident and Health","Finance","39524.19"
"Affimed","AFMD","YES","-.2","-.2","5","-.86","23.66699","7.2933","-8.76","43.58","-90.612","0","-90.614","-87.576","206.57899","Medical - Biomedical and Genetics","Medical","109.57"
"Affirm","AFRM","YES","-.83","-.73","5","-3.69","1516.78601","388.811","55.01","1349.29","-724.831","646.151","-707.417","-711.57898","3290.90209","Business - Services","Business Services","3107.52"
"Afya","AFYA","YES",".29",".31","1","1.23","546.15502","131.25999","41.55","451.09","150.761","166.49499","72.36","139.87399","317.21398","Schools","Consumer Discretionary","1013.67"
"First Majestic Silver","AG","YES",".1",".11","1",".09","645.79998","","6.87","624.22","-41.08101","471.68701","-114.27601","81.981","370.289","Mining - Silver","Basic Materials","2053.11"
"AGCO","AGCO","YES","3.23","3.32","8","13.53","14054.05078","3522.62011","13.58","12651.4","1120.19995","9650.0996","889.59997","1200.59997","5739.2998","Manufacturing - Farm Equipment","Industrial Products","8899.21"
"Agenus","AGEN","YES","-.2","-.2","3","-.82","91.72","23.433","-66.85","98.02","-168.793","10.56799","-220.07401","-223.71001","213.12199","Medical - Biomedical and Genetics","Medical","492.12"
"","AGG","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","88889.4"
"Alamos Gold","AGI","YES","","","",".44","938","","-.29","821.2","108.09999","394.39999","37.09999","279.39999","441","Mining - Gold","Basic Materials","5109.5"
"Agios Pharmaceuticals","AGIO","YES","-1.71","-1.7","6","-6.76","33.193","7.2533","","14.24","-231.801","1.70399","-231.801","-224.435","832.77197","Medical - Products","Medical","1203.56"
"Agilon Health","AGL","YES","0","-.03","7","-.08","4337.39208","1081.91003","47.7","2708.21","-101.16401","2595.92504","-106.55301","-93.24601","1451.27404","Medical Services","Medical","10798.92"
"Aeglea BioTherapeutics","AGLE","YES","-.19","-.19","2","-.76",".67",".17","-87.57","2.33","-83.951","0","-83.81501","-82.575","62.25799","Medical - Biomedical and Genetics","Medical","16.96"
"Federal Agricultural Mortgage","AGM","YES","3.06","3.22","1","12.55","","","70.1","755.54","225.679","0","178.14399","171.85","11347.29003","Financial - Mortgage & Related Services","Finance","1437.61"
"AGNC Investment","AGNC","YES",".58",".56","3","2.3","1146.19494","300.66","23.64","1590","-1190","625","-1190","1794","8956","REIT and Equity Trust","Finance","5917.56"
"Assured Guaranty","AGO","YES","1.13","1.18","1","4.6","652.59997","162.5","-14.74","723","229","16","124","267","2518","Insurance - Multi line","Finance","3100.74"
"Avangrid","AGR","YES",".49",".34","5","2.24","8006.85986","1826.48999","13.61","7923","1144","5328","881","1986","3210","Utility - Electric Power","Utilities","15805.88"
"AgriFORCE Growing Systems","AGRI","YES","","","","-1.6","","","","","-9.476","0","-12.87301","-12.851","2.917","Agriculture - Operations","Consumer Staples","11.98"
"Adecoagro","AGRO","YES","","","",".69","1193.41296","","19.87","1347.72","272.96398","882.09899","108.138","378.89999","1023.02197","Agriculture - Operations","Consumer Staples","882.15"
"PlayAGS","AGS","YES",".02",".01","6",".01","326.707","82.035","19.15","309.44","30.34799","86.67199","-8.035","85.178","146.164","Gaming","Consumer Discretionary","249.83"
"Agiliti","AGTI","YES",".17",".17","3",".69","1175.375","284.51501","7.95","1121.29","78.65","690.31799","30.21199","297.27099","316.31298","Medical Services","Medical","2190.18"
"Argan","AGX","YES","","","","","","","29.87","509.37","47.062","409.638","38.24399","50.38199","507.28399","Building Products - Miscellaneous","Construction","522.01"
"Agilysys","AGYS","YES",".2",".21","1",".84","234.6","56.59999","18.56","162.64","6.52299","61.104","6.478","26.51399","136.173","Computer - Integrated Systems","Computer and Technology","2041.14"
"","AGZ","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","674.93"
"AdaptHealth","AHCO","YES",".21",".26","4",".84","3218.54711","786.88397","21.02","2970.59","207.31599","2553.16894","69.316","418.85198","585.30798","Medical - Products","Medical","1636.99"
"Armada Hoffler Properties","AHH","YES",".31",".3","4","1.21","229.335","57.465","59.87","454.15","139.488","72.799","74.747","167.53399","297.91198","REIT and Equity Trust - Residential","Finance","1063.43"
"Ashford Hospitality Trust","AHT","YES",".63",".25","2",".75","1334.62402","365.84899","54.07","1240.86","92.273","903.33099","-139.825","71.649","642.92901","REIT and Equity Trust - Other","Finance","96.24"
"C3.ai","AI","YES","-.18","-.19","6","-.46","265.35998","70.969","37.96","252.76","-191.27601","63.713","-192.06501","-71.462","1060.43603","Computers - IT Services","Computer and Technology","2562.87"
"American International Group","AIG","YES","1.59","1.41","5","6.22","48565.07031","11694.92968","8.41","56437","15407","35675","10276","8434","106116","Insurance - Multi line","Finance","37475.76"
"Albany International","AIN","YES",".88",".89","2","3.61","1037.63903","256.35299","11.37","1034.89","149.815","645.10498","95.762","189.763","838.43902","Textile - Products","Industrial Products","2686.11"
"Arteris","AIP","YES","-.16","-.11","2","-.54","57.71799","13.151","33.05","50.38","-27.431","4.281","-27.387","-12.98201","81.11199","Internet - Software","Computer and Technology","157.61"
"AAR","AIR","YES",".77",".71","1","2.85","1966.36999","529.16998","10.15","1820","107.5","1506.80004","78.69999","119.4","1007.20001","Aerospace - Defense Equipment","Aerospace","1850.57"
"Apartment Income REIT","AIRC","YES",".6",".61","4","2.42","864.96697","214.807","4.44","773.72","1090.432","261.264","904.432","1255.37695","301.40499","REIT and Equity Trust - Residential","Finance","5308.07"
"Airgain","AIRG","YES","-.04",".03","3","0","80.86","17.17","18.08","75.89","-8.575","47.923","-8.65901","3.11899","27.15399","Communication - Components","Computer and Technology","57.79"
"AirSculpt Technologies","AIRS","YES",".17",".14","3",".58","189.83399","54.31","26.61","168.79","-4.54501","62.78099","-14.679","29.742","16.676","Technology Services","Business Services","263.14"
"Applied Industrial Technologies","AIT","YES","2.18","2.13","2","8.34","4347.65478","1115.77502","17.76","3810.68","356.57501","2703.76","257.414","314.25299","1359.52905","Manufacturing - General Industrial ","Industrial Products","4979.36"
"Apartment Investment and Management","AIV","YES","","","","-.28","","","12.08","190.34","183.264","71.79199","75.72599","240.65299","268.77999","REIT and Equity Trust - Residential","Finance","1154.42"
"Assurant","AIZ","YES","2.73","2.57","4","11.52","10552.9746","2630.81201",".05","10193","458.20001","2359.80004","276.6","791.5","11189.5996","Insurance - Multi line","Finance","6261.99"
"Arthur J. Gallagher & Co.","AJG","YES","1.92","1.95","6","8.71","9468.52636","2274.31494","4.16","8550.6","1583.90002","4822.70019","1114.19995","2261.20092","22834.5996","Insurance - Brokerage","Finance","42171.73"
"Aerojet Rocketdyne Holdings","AJRD","YES",".48",".51","3","1.99","2314.73999","561.505","2.27","2237.6","126.9","1906.19995","74","173.8","1069","Aerospace - Defense Equipment","Aerospace","4545.36"
"Great Ajax","AJX","YES",".12",".16","3",".51","29.982","7.195","-54.28","35.64","-12.101","0","-15.011","34.283","1044.37902","REIT and Equity Trust","Finance","156.6"
"a.k.a. Brands Holding Corp.","AKA","YES","-.02",".04","3",".03","575.33398","135.59199","8.81","611.74","-173.571","274.49099","-176.69701","189.809","197.604","Retail - Apparel and Shoes","Retail-Wholesale","55.49"
"Akamai Technologies","AKAM","YES","1.34","1.36","7","5.46","3746.38989","924.20001","4.49","3616.65","669.09899","1383.81896","523.67199","1454.85705","1969.56201","Internet - Services","Computer and Technology","12334.08"
"Akebia Therapeutics","AKBA","YES","-.12","-.1","2","-.45","194.23199","47.97499","37","292.6","-76.875","84.79599","-92.562","-40.334","184.949","Medical - Drugs","Medical","99.49"
"Akili, Inc.","AKLI","YES","","","","-.69","4.0769","","-39.96",".32","-6.461",".441","-7.96401","-78.03501","141.042","Medical Info Systems","Medical","106.22"
"Acadia Realty Trust","AKR","YES",".28",".27","3","1.22","324.5","","11.55","326.29","14.97","101.927","-35.445","106.111","205.63","REIT and Equity Trust - Retail","Finance","1302.88"
