,Industry,businessOverview,cleanGeo,cleanName,des,description,symbol,divDate,assetType,lastPrice,52WkHigh,52WkLow,low52,marketCap,dividendPayDate,beta,currentRatio,divGrowthRate3Year,divYield,dividendAmount,dividendDate,dividendPayAmount,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,ltDebtToEquity,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeTTM,sharesOutstanding,shortIntDayToCover,shortIntToFloat,totalDebtToCapital,totalDebtToEquity,totalVolume,vol10DayAvg,vol1DayAvg,vol3MonthAvg,volatility
10,Software  IT Services,"PowerFleet, Inc. is a provider of subscription-based wireless Internet-of-Things IoT and machine-to-machine M2M solutions for securing, controlling, tracking, and managing high-value enterprise assets, such as industrial trucks, trailers, containers, cargo, and light vehicles and heavy truck fleets. The Company focuses on four types of business solutions: PowerFleet for Logistics, PowerFleet for Industrial, PowerFleet for Vehicles and Vista. PowerFleet for Industrial solutions are designed to provide on-premise or in-facility asset and operator management, monitoring, and visibility for industrial trucks such as forklifts, man-lifts, tuggers and ground support equipment at airports. PowerFleet for Logistics solutions are designed to provide bumper-to-bumper asset management, monitoring, and visibility for over-the-road based assets and their associated cargo. PowerFleet for Vehicles solutions are designed both to enhance the vehicle fleet management process.",US,PowerFleet,-,"PowerFleet, Inc. - Common Stock",PWFL,,EQUITY,3.61,7.29,2.06,2.06,123.0452, ,1.77495,1.82229,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,50.03313,0.0,46.91565,45.87975,7.29,0.0,9.4307,0.0,0.0,0.0,0.0,1.40993,0.0,0.0,0.0,0.93625,1.31986,0.0,0.0,0.0,9.9157,36189756.0,0.0,0.0,12.97068,14.91271,42845,69929.0,69930.0,1157920.0,0.6077
11,Software  IT Services,"Yiren Digital Ltd. is engaged in online consumer finance marketplace business in China. The Company conducts its business in China, through Yi Ren Heng Ye Technology Development Beijing Co., Ltd. Heng Ye and its consolidated variable interest entity, Heng Cheng Technology Development Beijing Co., Ltd. Heng Cheng. Heng Cheng operates its Website, www.yirendai.com, and has an Internet content provider ICP license as an Internet information provider. Its online marketplace facilitates standard loan products, express loan products and vertical loan products to borrowers. Uses for these loan products include home remodels, durable good purchases, travel and continuing education. Its online marketplace provides investors with various investing tools, such as automated investing tool and self-directed investing tool. It maintains a secondary loan market on its marketplace where investors can transfer the loans they hold prior to maturity at the fair value of the remaining loans.",US,Yiren Digital Ltd,-,"Yiren Digital Ltd. American Depositary Shares, each representing two ordinary sh",YRD,,EQUITY,1.07,4.47,1.0,1.0,91.54259,2018-05-15 00:00:00.000,0.34154,0.0,0.0,0.0,0.0, ,0.28,0.0,0.0,0.0,348.3935,0.21584,84.82822,75.29076,4.47,18.78616,23.12391,26.0493,3.08824,33.68572,8.39548,0.15428,3.19653,5.05008,0.0,0.13513,0.0,1.79071,3.22921,2.45465,0.0,185044330.0,0.0,0.0,18.78101,23.12391,15159,80922.0,80920.0,761180.0,0.4573
12,Communications  Networking,"AudioCodes Ltd is an Israel-based vendor of voice networking and media processing solutions for the digital workplace. The Company enables enterprises and service providers to build and operate all IP voice networks in unified communications, contact centers, and hosted business services. The Company categorizes its products and services into two main business lines: network and technology. Network products consist of customer premises equipment CPE, gateways for the enterprise and service provider or carrier markets and of carrier-grade-oriented low- and mid-density media gateways for service providers and Enterprise Session Border Controls ESBCs. Complementing its media gateways and session border gateways as network products are its multi-service business routers MSBR, Internet Protocol IP phones, media servers, mobile VoIP solutions and value added application products. The Company offers a range of products, solutions and services worldwide.",US,AudioCodes Ltd,-,AudioCodes Ltd. - Ordinary Shares,AUDC,2022-08-16 00:00:00.000,EQUITY,22.57,37.35,19.62,19.62,728.5839,2022-08-31 00:00:00.000,0.62878,1.47529,0.0,1.56,0.36,2022-08-16 00:00:00.000,0.18,1.56,0.0,0.0,0.0,0.93509,65.11118,67.15136,37.35,0.0,0.0,10.14628,11.75593,11.58865,13.3383,4.00327,21.55574,24.62865,0.0,2.75745,1.18554,9.18453,15.78707,12.75697,12.60681,31636298.0,0.0,0.0,0.0,0.0,48341,77023.0,77020.0,1955420.0,0.1187
13,Software  IT Services,"HealthStream, Inc. HealthStream provides workforce and provider solutions for healthcare organizations. It operates in two segments: HealthStream Workforce Solutions and HealthStream Provider Solutions. Its products and services are organized into two segments: Workforce Solutions and Provider Solutions. Its products and services help healthcare organizations meet ongoing talent management, training, education, assessment, competency management, compliance, provider credentialing and privileging management, and provider enrollment needs. Its solutions are provided to a range of customers within the healthcare industry across the continuum of care. Delivered primarily as Software-as-a-Service, its solutions focus on challenges facing the healthcare workforce and healthcare organizations, including the need to manage, retain, engage and develop healthcare workforce talent manage ongoing medical staff credentialing and deliver patient experiences of care in healthcare organizations.",US,HealthStream,-,"HealthStream, Inc. - Common Stock",HSTM,,EQUITY,23.77,30.8,18.51,18.51,724.1983,2018-04-03 00:00:00.000,0.4268,0.90868,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,30.86388,0.22949,66.12633,65.38734,30.8,0.0,0.0,4.69697,2.73249,4.49892,3.20428,2.21651,16.33211,103.2289,0.0,2.79145,0.0,1.45564,2.12528,1.85777,3.36634,30569790.0,0.0,0.0,0.0,0.0,62633,63214.0,63210.0,2014290.0,0.1307
14,"Computers, Phones  Household Electronics","DZS Inc., formerly DASAN Zhone Solutions, Inc., is a provider of ultra-broadband network access solutions and communications platforms deployed by advanced Tier one, two and three service providers and enterprise customers. Its solutions are deployed by over 12 customers in more than 12 countries worldwide. Its principal focus is centered on enabling its customers to connect everything and everyone to the Internet-cloud economy via ultra-broadband connectivity solutions. It offers Broadband Access, Ethernet Switching, Mobile FronthaulBackhaul, Enterprise Passive Optical LAN and Software Defined Network SDN services.",US,DZS,-,DZS Inc. - Common Stock,DZSI,,EQUITY,14.71,19.95,10.77,10.77,412.8282, ,1.16897,1.79686,0.0,0.0,0.0, ,0.0,0.0,0.0,62.82234,0.0,0.0,27.38581,32.95675,19.95,0.0,18.8729,0.0,0.0,0.0,0.0,3.3138,0.0,0.0,0.0,1.16422,1.24114,0.0,0.0,0.0,2.37788,27893797.0,0.0,0.0,16.58342,19.88025,93218,174028.0,174030.0,3175530.0,0.15
15,Software  IT Services,"AppFolio, Inc. is a provider of industry-specific, cloud-based software solutions for small and medium-sized businesses SMBs in the property management and legal industries. The Companys mobile-optimized software solutions enable its customers to work at any time and from anywhere across multiple devices. Its property management software provides small and medium-sized property managers with an end-to-end solution to their business needs. The Companys legal software provides solo practitioners and small law firms with a streamlined practice and case management solution, allowing them to manage their practices and case load. It also offers Value services, such as its professionally designed Websites and electronic payment services. The Companys property manager customers include third-party managers and owner-operators, managing single- and multi-family residences, commercial property and student housing, as well as mixed real estate portfolios.",US,AppFolio,-,"AppFolio, Inc. - Class A Common Stock",APPF,,EQUITY,101.66,139.99,79.923,79.923,3746.159, ,1.06537,2.85793,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,59.61686,59.28964,139.99,0.0,0.0,0.0,0.0,0.0,0.0,14.13611,0.0,0.0,0.0,9.04531,0.0,0.0,0.0,0.0,27.63692,20174583.0,0.0,0.0,0.0,0.0,105068,81102.0,81100.0,2113880.0,0.1285
16,Investment Banking  Investment Services,"Piper Sandler Companies, formerly Piper Jaffray Companies, is an investment bank and institutional securities company. The Company offers advice to clients across various sectors, such as healthcare, energy, consumer and retail, financial services, agriculture, clean tech and renewables, technology, diversified industrials and business services. Its advisory services include sell-side and buy-side mergers and acquisitions MA, equity and debt capital markets, private placements and restructuring and special situations. Its public finance products include financial advisory services, municipal bond underwriting, municipal derivatives and reinvestment products and loan placements. Its institutional equities services include equity sales, equity trading, equity research and corporate and venture services. It provides fixed income investment solutions to corporations, public and private, public entities, money managers, financial institutions, foundations and endowments.",US,Piper Sandler Companies ,-,Piper Sandler Companies Common Stock,PIPR,2022-08-25 00:00:00.000,EQUITY,122.58,193.6,102.6,102.6,2256.935,2022-09-09 00:00:00.000,1.38853,0.0,0.0,1.85,2.4,2022-08-25 00:00:00.000,0.6,1.85,0.0,21.82137,0.0,12.60543,97.67421,97.092895,193.6,0.0,12.54215,7.83396,12.74396,10.48101,17.56932,1.79134,8.49561,10.26859,0.470575,1.24937,0.0,11.32578,22.26528,20.44808,8.88529,17436145.0,0.0,0.0,17.34845,24.80176,63689,66726.0,66730.0,1857750.0,0.1489
17,Software  IT Services,Jiayin Group Inc is a China based company mainly engaged in the provision of online individual finance services. The Companys loan facilitation services mainly matches investors and borrowers through the Companys marketplace. The post-origination service consist of services provided after loan origination. The Company also provides automated investment programs and loan transfers over the Companys secondary loan market services.,US,Jiayin Group,-,Jiayin Group Inc. - American Depositary Shares,JFIN,,EQUITY,2.33,5.45,1.5699,1.5699,130.1953, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,71.31412,55.23021,1.42175,81.72794,81.25658,5.45,0.0,0.0,27.75317,26.13813,35.69959,32.77718,5.09732,0.0,1.70212,0.023868,0.45543,0.0,40.07906299999998,0.0,60.00992,46.54622,100100000.0,0.0,0.0,0.0,0.0,19539,37668.0,37670.0,711910.0,0.4877
18,Media  Publishing,"Viad Corp is an international experiential services company. The Company operates through two main business groups: GES, which is a live event service provider to some of the visible and influential events and global brands, and Pursuit, which is a collection of destination travel experiences. GES conducts its operations through two geographical segments: GES U.S., which has full-service operations in exhibition market in the United States, including Las Vegas, Nevada Chicago, Illinois Orlando, Florida New York, New York, and Los Angeles, California, and GES International, which had full-service operations at many of the event destinations and venues. In addition, GES offers clients a full suite of audio-visual services. Pursuit is composed of four lines of business: Hospitality including food and beverage services and retail operations Attractions including food and beverage services and retail operations Transportation, and Travel Planning.",US,Viad,-,Viad Corp Common Stock,VVI,,EQUITY,40.88,52.725,25.18,25.18,851.6574,2020-01-02 00:00:00.000,1.82152,1.0225,0.0,0.0,0.0, ,0.1,0.0,0.0,82.32295,131.4305,0.0,11.49989,4.39788,52.725,4.20771,375.4312,6.30007,0.0,9.78374,2.19484,0.0,27.91679,0.0,0.0,0.93206,0.96676,0.0,0.0,0.0,411.7616,20621244.0,0.0,0.0,69.11654,382.7464,59297,123459.0,123460.0,2238560.0,0.1444
19,Automobiles  Auto Parts,"GreenPower Motor Company Inc. is a Canada-based company engaged in the business of manufacturing and distributing all-electric transit, school and charter buses. The Companys product line includes EV Star, The Battery Electric Automotive School Transportation Beast and the Transit line. The GreenPower EV Star is a purpose-built, mini-bus capable of a range of up to 15 miles. The GreenPower EV Star utilizes off the shelf charging components and can be fully charged in approximately two hours. the BEAST offers, such as a monocoque chassis, full air-ride suspension, air-disk brakes and pass-through storage. Its low-floor transit line includes EV 25, EV35 and EV55 double-decker buses. The Companys subsidiaries include GreenPower Motor Company, Inc. and San Joaquin Valley Equipment Leasing, Inc.",US,GreenPower Motor Company,-,GreenPower Motor Company Inc. - Common Shares,GP,,EQUITY,3.05,16.45,2.95,2.95,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23151360.0,0.0,0.0,0.0,0.0,80778,259552.0,0.0,0.0,0.2737
20,Software  IT Services,"Qumu Corporation Qumu provides the tools to create, manage, secure, distribute and measure the success of live and on-demand video for the enterprises. The Companys platform enables global organizations to drive employee engagement, enable access to video and modernize the workplace by providing way to share knowledge. It enables its customers to leverage the Qumu platform for a variety of cloud, on-premises and hybrid deployments. The Company uses cases, which include self-service Webcasting, sales enablement, internal communications, product training, regulatory compliance and customer engagement. It offers an end-to-end video creation, management and delivery solution for enterprises. The Qumu platform encompasses four elements: video capture, video content management, intelligent delivery and extensions and add-ons. The Company markets Qumus products to customers primarily in North America, Europe and Asia.",US,Qumu,-,Qumu Corporation - Common Stock,QUMU,,EQUITY,0.6995,3.04,0.639,0.639,12.54204, ,1.59989,1.03917,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,4.82208,0.0,71.45749,74.02558,3.04,0.0,1.23289,0.0,0.0,0.0,0.0,1.54158,0.0,0.0,0.0,0.54196,0.0,0.0,0.0,0.0,0.0,17844511.0,0.0,0.0,40.18878,67.1927,12144,69225.0,69230.0,957870.0,0.1704
21,Software  IT Services,"Digimarc Corporation Digimarc enables governments and enterprises to give digital identities to media and objects that computers can sense and recognize. The Companys Digimarc Discover, Digimarc Barcode and Intuitive Computing Platform are designed to optimize the identification of consumer brand impressions, facilitating mobile-centric shopping. The Company operates through media management solutions segment. The Companys platform includes means to embed Digimarc Barcodes, invisible and inaudible barcode-like information that is recognizable by smartphones, industrial scanners, and other computer interfaces into various forms of media content, including consumer product packaging. Its Digimarc Barcodes has a range of applications, including facilitating scanning of products at retail checkout, as well as engagement with smartphone-equipped consumers. The Digimarc Barcode allows automatic identification of media without visible computer codes, such as traditional barcodes.",US,Digimarc,-,Digimarc Corporation - Common Stock,DMRC,,EQUITY,17.48,53.74,13.03,13.03,347.2912, ,1.32948,7.0903,0.0,0.0,0.0, ,0.0,0.0,0.0,27.81652,20.18111,0.0,47.45063,55.23693,53.74,0.0,0.0,0.0,0.0,0.0,0.0,3.01215,0.0,0.0,0.0,12.10074,0.0,0.0,0.0,0.0,18.19455,19970741.0,0.0,0.0,0.0,0.0,52313,75203.0,75200.0,2323650.0,0.2539
22,Software & IT Services,"Opera Ltd is a Norway-based company within consumer business segment. It operates as provider of browser and integrated artificial intelligence (AI)-driven digital content discovery and recommendation platforms. The CompanyÕs operations are comprised of Search, Advertising, Technology Licensing and Other. The Search revenue is generated when a user conducts a qualified search using an Opera search partner. The Advertising revenue is comprised of industry-standard advertising units, predefined partner bookmarks, or Speed Dials, and subscriptions of various promoted services. Technology licensing and other revenues include revenues from device manufacturers and mobile communications operators. Licensing agreements include licensing of technology, related professional services, maintenance and support, as well as hosting services.",Europe,OPERA LIMITED,-,-,OPRA,,EQUITY,4.9,10.48,4.05,4.05,557.2543, ,1.11782,7.27004,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,88.78406,92.79155,10.48,0.20157,0.13287,0.0,0.0,1.87025,0.0,0.55695,0.0,0.0,0.0,2.05197,0.0,0.0,0.0,0.0,44.41756,230270360.0,0.0,0.0,0.45905,0.46116,77910,82955.0,82960.0,1696860.0,0.3146
23,Hotels  Entertainment Services,"Potbelly Corporation owns and operates Potbelly Sandwich Works sandwich shops in the United States. The Company has domestic and international franchise operations of Potbelly Sandwich Works sandwich shops. As of December 25, 216, the Company operated Potbelly Sandwich Works sandwich shops in 29 states and the District of Columbia. As of December 25, 216, the Company had a domestic base of 441 shops in 29 states and the District of Columbia. Of these, the company operated 411 shops, and franchisees operated 3 shops, as of December 25, 216. As of December 25, 216, the Company had 13 international franchised shops, which included 11 shops in the Middle East, a shop in the United Kingdom and a shop in Canada. As of December 25, 216, the Company had domestic franchise shops in Arkansas, Iowa, Illinois, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Carolina, North Dakota, Ohio, Pennsylvania, South Dakota, Tennessee, Texas and Virginia.",US,Potbelly,-,Potbelly Corporation - Common Stock,PBPB,,EQUITY,5.97,7.41,4.8301,4.8301,178.8079, ,1.21775,0.41164,0.0,0.0,0.0, ,0.0,0.0,0.0,76.69982,114.2085,0.0,71.68656,71.96773,7.41,5.84034,0.0,0.6106,0.0,0.89779,0.0,0.0,158.9302099999996,0.0,0.0,0.42708,0.36135,0.0,0.0,0.0,29.58621,28701112.0,0.0,0.0,167.4387,0.0,78258,108375.0,108380.0,928810.0,0.2513
24,Healthcare Equipment  Supplies,"Establishment Labs Holdings Inc. is a medical technology and aesthetics company that is focused on patient safety and aesthetic outcomes and also in the breast aesthetics and reconstruction market. The Company is engaged in the designing, developing, manufacturing and marketing of product portfolio consisting of silicone-filled breast and body shaping implants. Its line of silicone gel-filled breast implants, branded as MotivaImplants, is the centerpiece of its MotivaImagine medical technology platform. The Companys MotivaImplants are sold in over 6 countries.",Global (Other),Establishment Labs Holdings,-,Establishment Labs Holdings Inc. - Common Shares,ESTA,,EQUITY,62.14,93.8,46.93,46.93,1621.621, ,1.12264,4.50127,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,66.6521,66.83334,93.8,0.0,916.8841,0.0,0.0,0.0,0.0,67.50742549999966,0.0,0.0,0.0,11.26173,3.7378,0.0,0.0,0.0,28.50755,24268497.0,0.0,0.0,90.16604,916.8841,172551,183418.0,183420.0,2847220.0,0.1545
