Industry,businessOverview,cleanGeo,cleanName,des,description,symbol
Investment Banking  Investment Services,"Piper Sandler Companies, formerly Piper Jaffray Companies, is an investment bank and institutional securities company. The Company offers advice to clients across various sectors, such as healthcare, energy, consumer and retail, financial services, agriculture, clean tech and renewables, technology, diversified industrials and business services. Its advisory services include sell-side and buy-side mergers and acquisitions MA, equity and debt capital markets, private placements and restructuring and special situations. Its public finance products include financial advisory services, municipal bond underwriting, municipal derivatives and reinvestment products and loan placements. Its institutional equities services include equity sales, equity trading, equity research and corporate and venture services. It provides fixed income investment solutions to corporations, public and private, public entities, money managers, financial institutions, foundations and endowments.",US,Piper Sandler Companies ,-,Piper Sandler Companies Common Stock,PIPR
Software  IT Services,Jiayin Group Inc is a China based company mainly engaged in the provision of online individual finance services. The Companys loan facilitation services mainly matches investors and borrowers through the Companys marketplace. The post-origination service consist of services provided after loan origination. The Company also provides automated investment programs and loan transfers over the Companys secondary loan market services.,US,Jiayin Group,-,Jiayin Group Inc. - American Depositary Shares,JFIN
Media  Publishing,"Viad Corp is an international experiential services company. The Company operates through two main business groups: GES, which is a live event service provider to some of the visible and influential events and global brands, and Pursuit, which is a collection of destination travel experiences. GES conducts its operations through two geographical segments: GES U.S., which has full-service operations in exhibition market in the United States, including Las Vegas, Nevada Chicago, Illinois Orlando, Florida New York, New York, and Los Angeles, California, and GES International, which had full-service operations at many of the event destinations and venues. In addition, GES offers clients a full suite of audio-visual services. Pursuit is composed of four lines of business: Hospitality including food and beverage services and retail operations Attractions including food and beverage services and retail operations Transportation, and Travel Planning.",US,Viad,-,Viad Corp Common Stock,VVI
Automobiles  Auto Parts,"GreenPower Motor Company Inc. is a Canada-based company engaged in the business of manufacturing and distributing all-electric transit, school and charter buses. The Companys product line includes EV Star, The Battery Electric Automotive School Transportation Beast and the Transit line. The GreenPower EV Star is a purpose-built, mini-bus capable of a range of up to 15 miles. The GreenPower EV Star utilizes off the shelf charging components and can be fully charged in approximately two hours. the BEAST offers, such as a monocoque chassis, full air-ride suspension, air-disk brakes and pass-through storage. Its low-floor transit line includes EV 25, EV35 and EV55 double-decker buses. The Companys subsidiaries include GreenPower Motor Company, Inc. and San Joaquin Valley Equipment Leasing, Inc.",US,GreenPower Motor Company,-,GreenPower Motor Company Inc. - Common Shares,GP
Software  IT Services,"Qumu Corporation Qumu provides the tools to create, manage, secure, distribute and measure the success of live and on-demand video for the enterprises. The Companys platform enables global organizations to drive employee engagement, enable access to video and modernize the workplace by providing way to share knowledge. It enables its customers to leverage the Qumu platform for a variety of cloud, on-premises and hybrid deployments. The Company uses cases, which include self-service Webcasting, sales enablement, internal communications, product training, regulatory compliance and customer engagement. It offers an end-to-end video creation, management and delivery solution for enterprises. The Qumu platform encompasses four elements: video capture, video content management, intelligent delivery and extensions and add-ons. The Company markets Qumus products to customers primarily in North America, Europe and Asia.",US,Qumu,-,Qumu Corporation - Common Stock,QUMU
Software  IT Services,"Digimarc Corporation Digimarc enables governments and enterprises to give digital identities to media and objects that computers can sense and recognize. The Companys Digimarc Discover, Digimarc Barcode and Intuitive Computing Platform are designed to optimize the identification of consumer brand impressions, facilitating mobile-centric shopping. The Company operates through media management solutions segment. The Companys platform includes means to embed Digimarc Barcodes, invisible and inaudible barcode-like information that is recognizable by smartphones, industrial scanners, and other computer interfaces into various forms of media content, including consumer product packaging. Its Digimarc Barcodes has a range of applications, including facilitating scanning of products at retail checkout, as well as engagement with smartphone-equipped consumers. The Digimarc Barcode allows automatic identification of media without visible computer codes, such as traditional barcodes.",US,Digimarc,-,Digimarc Corporation - Common Stock,DMRC
Software & IT Services,"Opera Ltd is a Norway-based company within consumer business segment. It operates as provider of browser and integrated artificial intelligence (AI)-driven digital content discovery and recommendation platforms. The CompanyÕs operations are comprised of Search, Advertising, Technology Licensing and Other. The Search revenue is generated when a user conducts a qualified search using an Opera search partner. The Advertising revenue is comprised of industry-standard advertising units, predefined partner bookmarks, or Speed Dials, and subscriptions of various promoted services. Technology licensing and other revenues include revenues from device manufacturers and mobile communications operators. Licensing agreements include licensing of technology, related professional services, maintenance and support, as well as hosting services.",Europe,OPERA LIMITED,-,-,OPRA
Hotels  Entertainment Services,"Potbelly Corporation owns and operates Potbelly Sandwich Works sandwich shops in the United States. The Company has domestic and international franchise operations of Potbelly Sandwich Works sandwich shops. As of December 25, 216, the Company operated Potbelly Sandwich Works sandwich shops in 29 states and the District of Columbia. As of December 25, 216, the Company had a domestic base of 441 shops in 29 states and the District of Columbia. Of these, the company operated 411 shops, and franchisees operated 3 shops, as of December 25, 216. As of December 25, 216, the Company had 13 international franchised shops, which included 11 shops in the Middle East, a shop in the United Kingdom and a shop in Canada. As of December 25, 216, the Company had domestic franchise shops in Arkansas, Iowa, Illinois, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Carolina, North Dakota, Ohio, Pennsylvania, South Dakota, Tennessee, Texas and Virginia.",US,Potbelly,-,Potbelly Corporation - Common Stock,PBPB
Healthcare Equipment  Supplies,"Establishment Labs Holdings Inc. is a medical technology and aesthetics company that is focused on patient safety and aesthetic outcomes and also in the breast aesthetics and reconstruction market. The Company is engaged in the designing, developing, manufacturing and marketing of product portfolio consisting of silicone-filled breast and body shaping implants. Its line of silicone gel-filled breast implants, branded as MotivaImplants, is the centerpiece of its MotivaImagine medical technology platform. The Companys MotivaImplants are sold in over 6 countries.",Global (Other),Establishment Labs Holdings,-,Establishment Labs Holdings Inc. - Common Shares,ESTA
Software  IT Services,"Intrusion Inc. develops, markets and support products that protect any-sized company or government organization by fusing advanced threat intelligence with real-time artificial intelligence AI to neutralize cyberattacks including Zero-Day attacks. The Company market and distribute solutions through a direct sales force and value-added resellers. The Companys solutions include INTRUSION Shield, INTRUSION TraceCop and INTRUSION Savant. INTRUSION Shield is a real-time AI-based Security-as-a-Service that inspects and kills all dangerous network connections before they can do damage. INTRUSION TraceCop is a big data tool with Internet protocol IP intelligence canvassing the Internet. TraceCop contains an inventory of network selectors and developments to support forensic investigations. INTRUSION Savant is a network monitoring solution that controls the data in TraceCop to identify suspicious traffic in real-time. Savant uses patents to characterize and record all network flows.",US,Intrusion,-,Intrusion Inc. - Common Stock,INTZ
Software  IT Services,"Docebo Inc. is a Canada-based company that offers cloud-based artificial intelligence AI powered E-learning platform. It provides an easy-to-use customizable learning platform, with the end-to-end capabilities that are needed to train internal and external workforces, partners and customers. Its AI-based E-learning platform allows customers to take control of online delivery of their desired training and retain institutional knowledge with real time tracking of training results. It offers learning management systems LMS, a software which is designed to deliver, track and certify online courses and training. Its platform helps users to centralize a broad range of learning materials, and offers E-learning solutions, such as for employee onboarding, employee development and retention, partner training, sales enablement, social learning, member training, customer training and compliance training. It offers Docebo for Salesforce, Coach and share and Docebo mobile application publisher.",US,Docebo,-,Docebo Inc. - Common Shares,DCBO
Media  Publishing,"WPP plc WPP is a holding company engaged in providing communications services. The Company comprises companies in a range of disciplines, which include advertising, media investment management data investment management public relations and public affairs branding and identity healthcare communications direct, digital, promotion and relationship marketing, and specialist communications. The Company operates through four segments: Advertising and Media Investment Management Data Investment Management Public Relations  Public Affairs Branding consulting, Health and wellness and Specialist Communications. The Company has operations in over 112 countries. The Company offers global, national and specialist advertising services from a range of international and specialist agencies, which include Bates CHIPartners, Grey, JWT, Ogilvy  Mather Advertising and YR.",Europe,WPP plc American Depositary Shares,-,WPP plc American Depositary Shares,WPP
Professional  Commercial Services,"Net 1 UEPS Technologies, Inc. is a provider of payment solutions, transaction processing services and financial technology across multiple industries. The Company develops and markets a transaction processing solution that encompasses its smart card-based alternative payment system for the unbanked and under-banked populations of developing economies and for mobile transaction channels. The Company operates through three segments: South African transaction processing, International transaction processing, and Financial inclusion and applied technologies. The Company also provides secure transaction technology solutions and services, by offering transaction processing, financial and clinical risk management solutions to various industries. It offers secure online transaction processing, cryptography, mobile telephony, integrated circuit card chipsmart card technologies, and the design and provision of financial and value-added services to its cardholder base.",Global (Other),Net 1 UEPS Technologies,-,"Net 1 UEPS Technologies, Inc. - Common Stock",UEPS
Construction  Engineering,"iSun, Inc., formerly Peck Company Holdings, Inc., is a commercial solar engineering, procurement and construction company. The Company also provides electrical contracting services and data and communication services. The Company provides solar power, electric mobility and smart city solutions for government, commercial, retail, academic and data-center projects. Its business units include Peck Solar, Peck Data and Peck Electric. Its Peck Solar business unit serves the commercial, industrial and utility-scale solar markets with rooftop and ground mount solar installations. The Companys brand offerings include the iSun Energy  Mobility Hub, a solar canopy for electric vehicle EV charging, and the iSun Oasis Smart Solar Bench. The iSun solar EV carport charging systems incorporate solar panels to charge electric vehicles while providing software insights into data surrounding the energy produced, consumed, air quality effects and other key metrics.",US,iSun,-,"iSun, Inc. - Common Stock",ISUN
"Computers, Phones  Household Electronics","ScanSource, Inc. is a provider of technology products and solutions. The Company and its subsidiaries provide solutions for technology manufacturers and sell to resellers in technology markets, such as point-of-sale POS and Barcode, Networking and Security, Communications and Emerging Technologies. It operates through two segments: Worldwide Barcode  Security and Worldwide Communications  Services. The Barcode  Security distribution segment focuses on automatic identification and data capture AIDC, POS, electronic physical security and three dimensional 3D printing technologies. The Communications  Services distribution segment focuses on communications technologies and services. As of June 3, 216, the Company marketed over 1, products from approximately 4 hardware and software vendors to approximately 35, reseller customers from distribution centers in Mississippi, Virginia, Florida, Mexico, Colombia, Brazil, Belgium, France, Germany and the United Kingdom.",US,ScanSource,-,"ScanSource, Inc. - Common Stock",SCSC
Leisure Products,"BRP Inc. is engaged in the design, development, manufacturing, distribution and marketing of power sports and marine products. The Companys diversified portfolio of brands and products includes for Powersports: Can-Am ATVs, SSVs and 3WVs, Ski-Doo and Lynx snowmobiles, Sea-Doo PWCs and Rotax engines for karts, motorcycles and recreational aircraft. For Marine, the portfolio of brands and products includes Evinrude outboard boat engines, Rotax engines for jet boats, and Alumacraft, Manitou, Quintrex, Stacer and Savage boats. Additionally, the Company supports its line of products with dedicated parts, accessories and clothing PAC business. The Company sells its products in over 12 countries. The products are sold directly through a network of approximately 3,625 dealers in over 21 countries as well as through approximately 185 distributors serving approximately 8 additional dealers.",US,BRP,-,BRP Inc. - Common Subordinate Voting Shares,DOOO
"Machinery, Equipment  Components","Flux Power Holdings, Inc. designs, develops, manufactures, and sells advanced rechargeable lithium-ion energy storage solutions for lift trucks, airport ground support equipment GSE, stationary energy storage, and other industrial and commercial applications. The Companys LiFT battery packs, including its battery management system BMS, provide its customers with an environmental friendly alternative as compared to lead acid and propane-based solutions. The Company operates through its subsidiary Flux Power, Inc.",US,Flux Power Holdings,-,"Flux Power Holdings, Inc. - Common Stock",FLUX
Software  IT Services,"CACI International Inc is a simulation technology company. The Company provides information solutions and services. The Company operates through two segments: domestic operations and international operations. The Companys domestic operations segment provides information solutions and services to its domestic customers in market areas, which include business systems command and control communications cyber security, and enterprise information technology. Its international operations are conducted through its subsidiaries in Europe, including CACI Limited and CACI BV. Its international operations segment provides information technology IT services, and data and software products. It also offers technology and solutions that support multi-domain intelligence, surveillance, and reconnaissance ISR, unmanned aircraft system UAS, air defense, and counter-unmanned aircraft system c-UAS operations.",US,CACI International,-,"CACI International, Inc. Class A Common Stock",CACI
"Computers, Phones  Household Electronics","VOXX International Corporation is an international manufacturer and distributor in the automotive, audio and consumer accessories industries. The Companys segments include Automotive, Premium Audio and Consumer Accessories. The Automotive segment designs, manufactures, distributes and markets rear-seat entertainment devices, satellite radio products, remote start systems, digital television tuners, mobile antennas, mobile multimedia devices, car link-smartphone telematics application, collision avoidance systems and others. The Premium Audio segment designs, manufactures, distributes and markets home theater systems, outdoor speakers, iPodcomputer speakers, business music systems, cinema speakers, flat panel speakers, Bluetooth speakers and others. The Consumer Accessories segment designs and markets remote controls, rechargeable battery packs, wireless and Bluetooth speakers, Singtrix karaoke products, 36 Fly Action Cameras, personal sound amplifiers and others.",US,VOXX International,-,VOXX International Corporation - Class A Common Stock,VOXX
Software  IT Services,"eGain Corporation eGain is a software-as-a service SaaS provider of customer engagement solutions for a digital world. The Company offers unified customer engagement hub to business-to-consumer B2C brands that provides connected artificial intelligence AI, knowledge, and analytics capabilities to automate self-service across touch points and augment a digital-first, omnichannel agent desktop and improve business agility. It offers digital-first, omnichannel desktop, AI and knowledge applications, analytics and machine learning applications, and open, secure application programming interfaces APIs and pre-built, certified third-party connectors. The Company have operations in the United States U.S., the United Kingdom UK and India.",US,eGain,-,eGain Corporation - Common Stock,EGAN
-,-,-,Vanguard SP 5 Growth ETF,The Fund seeks to track the performance of benchmark index that measures the investment return of large-capitalization growth stocks in the United States. The Fund employs a passive management indexing investment approach designed to track the performance of the S&P500 500 Growth Index.,Vanguard SP 5 Growth ETF,VOOG
Media  Publishing,"Madison Square Garden Sports Corp., formerly, The Madison Square Garden Company, is a holding company, which is engaged in professional sports business. The Company has operations live experiences consisting of celebrated venues and sports teams. The Company operates in segment such as MSG Sports. The Companys subsidiaries include ALA Hospitality LLC, 11th Street Hospitality LLC, 29th Street Club Brands LLC, Asia Chicago Management LLC, Asia Los Angeles LLC, Boston Calling Events, LLC, Chelsea Hospitality Associates LLC, CLG Esports Holdings, LLC, Dearborn Ventures LLC, and The Grand Tour, LLC.",US,Madison Square Garden Sports,-,Madison Square Garden Sports Corp. Class A Common Stock New,MSGS
Residential  Commercial REIT,"Innovative Industrial Properties, Inc. is a real estate investment trust REIT.",US,Innovative Industrial Properties,-,"Innovative Industrial Properties, Inc. Common Stock",IIPR
Food  Tobacco,"Clever Leaves Holdings Inc. is a holding company. The Company, through its subsidiary Clever Leaves International Inc., is a multi-national cannabis company. The Company operates through two segments: Cannabinoid and Non-Cannabinoid segments. The Cannabinoid operating segment is comprised of the Companys cultivation, extraction, manufacturing, commercialization and distribution of cannabinoid products. The Non-Cannabinoid operating segment is engaged in the business of formulating, manufacturing, marketing, selling, distributing, and otherwise commercializing wellness products, and nutraceuticals, excluding cannabinoid products. It has operations and investments across Colombia, Portugal, Germany, the United States and Canada.",US,Clever Leaves Holdings,-,Clever Leaves Holdings Inc. - Common Shares,CLVR
Biotechnology  Medical Research,aTyr Pharma Inc is a United States-based biotechnology company.,US,aTyr Pharma,-,"aTyr Pharma, Inc. - Common Stock",LIFE
Food  Tobacco,"Turning Point Brands, Inc. is an independent provider of Other Tobacco Products OTP in the United States. The Company operates in three segments smokeless products, smoking products and NewGen products. The smokeless products segment manufactures and markets moist snuff and contracts for and markets chewing tobacco products. The smoking products segment imports and markets cigarette papers, tubes and related products processes, packages and markets make-your-own MYO cigarette tobaccos imports and markets finished cigars and MYO cigar tobaccos and cigar wraps, and processes, packages and markets pipe tobaccos. The NewGen products segment markets e-cigarettes, e-liquids, vaporizers and other related products, and distributes a wide assortment of vaping products to non-traditional retail outlets via VaporBeast. The Companys portfolio of brands includes Zig-Zag, Beech-Nut, Stokers, Trophy, and VaporBeast.",US,Turning Point Brands,-,"Turning Point Brands, Inc. Common Stock",TPB
Healthcare Equipment  Supplies,"AngioDynamics, Inc. designs, manufactures and sells a range of medical, surgical and diagnostic devices used by professional healthcare providers for vascular access, for the treatment of peripheral vascular disease and for use in oncology and surgical settings. The Companys devices are used in minimally invasive, image-guided procedures. The Company offers products within three product groupings: Vascular Interventions  Therapies, Vascular Access and Oncology. The Companys Vascular Interventions  Therapies products include Venous, Thrombus Management, as well as other core products. The Companys BioFlo products incorporate Endexo Technology into the manufacturing and design of its Vascular Access products. Its Oncology product offerings include its Microwave Ablation products, Radiofrequency Ablation RFA and its NanoKnife product lines. Through its subsidiary, Eximo Medical, Ltd., the Company operates 355 nanometers nm wavelength laser-technology platform.",US,AngioDynamics,-,"AngioDynamics, Inc. - Common Stock",ANGO
Biotechnology  Medical Research,"Pluristem Therapeutics Inc. is a developer of placenta-based cell therapy product candidates for the treatment of multiple ischemic, inflammatory and hematologic conditions.",US,Pluristem Therapeutics,-,"Pluristem Therapeutics, Inc. - Common Stock",PSTI
Healthcare Equipment  Supplies,"Integer Holdings Corporation, formerly Greatbatch, Inc., is a medical device outsource manufacturing company. The Companys segments include Medical and Non-Medical. Medical segment includes Portable Medical, Cardio  Vascular, and Cardiac  Neuromodulation product lines. Non-Medical segment includes Electrochem product line. It serves the cardiac, neuromodulation and vascular markets. It also serves the non-medical power solutions market. In addition, the Company develops batteries for niche applications in energy, military, and environmental markets. Its brands include Greatbatch Medical, Lake Region Medical and Electrochem. Its primary customers include multi-national original equipment manufacturers OEMs and their affiliated subsidiaries.",US,Integer,-,Integer Holdings Corporation Common Stock,ITGR
Banking Services,"PRA Group, Inc. PRA Group is a financial and business services company with operations in the Americas and Europe. The Companys primary business is the purchase, collection and management of portfolios of nonperforming loans. The Company operates through the account receivables management segment. It also provides fee-based services, such as vehicle location, skip tracing and collateral recovery for auto lenders, government entities and law enforcement revenue administration, audit and revenue discoveryrecovery services for local government entities class action claims recovery services and purchases servicing of consumer bankruptcy accounts in the United States, and contingent collections of nonperforming loans in Europe and South America. The Companys portfolio of nonperforming loans includes a set of accounts that can be categorized by asset type, age and size of account, level of previous collection efforts, payment history, and geography.",US,ProAssurance,-,ProAssurance Corporation Common Stock,PRA
Insurance,"Goosehead Insurance, Inc. (Goosehead) is a personal lines independent insurance agency. The Company is engaged in distributing personal lines products and services throughout the United States. The Company operates through two segments: Corporate Channel and Franchise Channel. The Corporate Channel segment consists of Company-owned and financed operations with employees who are hired, trained, and managed by Goosehead. The Franchise Channel segment consists of operations that are owned and managed by Franchisees. This channel is composed of Franchisees and sales agents that they hire as employees in their franchised businesses. The Company is a distributor of insurance policies in a range of personal lines of business, including homeownerÕs insurance, automotive, dwelling property insurance, flood, wind and earthquake insurance, excess liability or umbrella insurance, specialty lines insurance, commercial lines insurance and life insurance.",US,"GOOSEHEAD INSURANCE, INC.",-,-,GSHD
